,text
83,"<|startoftext|>Written by: Andrew Reich & Ted Cohe Transcribed by: Eric Aase [Scene: Monica and Rachel's, the gang is there eating breakfast. Chandler is cleaning out his wallet. Phoebe: Hey! New wallet, huh Chandler: Yeah, it was time. The old condom ring in the leather just doesnt say cool anymore Monica: Rachel Rachel: What Monica: You just put an empty carton back in the fridge Rachel: Oh yeah, I know, but the garbage was full Monica: Have you ever taken out the trash? (Hands her the garbage. Rachel: Well, I thought you liked doing it. (Rachel starts out the door and stops. Monica: Third door on the left Rachel: Right [Scene: Garbage room: Mr. Treeger is unclogging the trash chute as Rachel enters. Rachel: Oh! Hey, Mr. Treeger Mr. Treeger:: Hey (Rachel opens the trash chute, winces at the smell, and throws the garbage bag in. She then tries to throw the pizza box in, but since its so big she jams it into the opening and it prevents the door from closing. She then turns around too see Mr. Treeger watching her. Mr. Treeger:: What are you doing Rachel: Ummm. Oh! Im sorry. (She grabs the box and offers him a piece.) Its a little old bu Mr. Treeger:: No! Youre clogging up the chute that I spent a half-hour unclogging Rachel: Im sorry. I didntI dont come in here a lot Mr. Treeger:: Oh yeah, of course you dont Rachel: No Mr. Treeger:: Cause youre a little princess! ""Daddy, buy me a pizza. Daddy, buy me a candy factory. Daddy, make the cast of Cats sing Happy Birthday to me Rachel: I didnt I never said that<|endoftext|>"
84,"<|startoftext|>Part I Written by: Greg Malin Part II Written by: David Crane & Marta Kauffma Parts I & II Transcribed by: Eric Aase [Scene: Central Perk, everyone is there. Monica: Do you realize this is probably the last time well all be here in the coffee house as six single people Phoebe: Why?! Whats happening to the coffee house?! (Monica looks at her.) Oh! (Realizes. Chandler: Yep! From now on its gonna be the four of you guys and me and the mrs. The little woman. The wife. The old ball and chain Monica: Old Chandler: The young hot ball and chain Monica: Thats much better Rachel: (checking her watch) Op! We gotta go! (The girls stand up. Ross: Oh, where are you guys going Monica: Were gonna pick up the wedding dress, then were gonna have lunch with mom. (Joey stands up. Ross: Ah. Joey, youre-youre having lunch with my mom Joey: No, I-I just heard lunch. But yeah, I can go. Sure! (They all exit. Ross: (To Chandler) Yknow what? Actually Im kinda glad theyre leaving cause uh, I need to talk to you about something Chandler: Whats up Ross: Well this uh, this may be a little awkward Chandler: Listen, if you want to borrow money, its kind of a bad time. Im buying dinner for 128 people tomorrow night Ross: No, itsIts not that. Umm, now what Im going to say to you, Im not saying as your friend. Okay? Im-Im saying as it as Monicas older brother Chandler: But youre still my friend Ross: Not for the next few minutes Chandler: During this timeare you, are you still my best man Ross: Nope Chandler: Do I still call you Ross<|endoftext|>"
85,"<|startoftext|>Written by: Jeff Greenstein & Jeff Straus Transcribed by: Mindy Mattingly Phillip With Minor Adjustments by: Dan Silverstei [Scene: Central Perk, Rachel is confronting her boss, Terry. Rachel: Terry, I, I, I know that I haven't worked here very long, but I was wondering, do you think it would be possible if I got a $100 advance in my salary Terry: An advance Rachel: It's so that I can spend Thanksgiving with my family. See, every year we go skiing in Vail, and normally my father pays for my ticket, but I sort of started the whole independence thing, you know, which is actually why I took this job Terry: Rachel, Rachel, sweetheart. You're a terrible, terrible waitress. Really, really awful Rachel: Ok, I, I hear what you're sayin'. I'm with you. Um, but I, but I'm trying really hard. And I think I'm doing better. I really do. Does anybody need coffee? (everyone in the place raises their hand) Oh, look at that Opening Credit [Scene: Central Perk, Rachel is approaching a customer. Rachel: Excuse me, sir. Hi, you come in here all time. I was just wondering, do you think there's a possibility that you could give me an advance on my tips Guy: Huh Rachel: Ok, ok, that's fine. Fine. Hey, I'm sorry about that spill before. (picks up the tip he leaves) Only $98.50 to go (Monica enters. Monica: Hey. Ross, did you know Mom and Dad are going to Puerto Rico for Thanksgiving Ross: No, they're not Monica: Yes, they are. The Blymens invited them Ross: You're wrong Monica: I am not wrong Ross: You're wrong Monica: No, I just talked to them Ross: (getting up, upset) I'm calling Mom (Joey enters. His face looks abnormally colorful. Joey: Hey, hey<|endoftext|>"
86,"<|startoftext|>Originally written by Brown Mandell Transcribed by Joshua Hodge [Scene: Central Perk. Rachel, Monica, Joey, and Chandler are there. [Rachel brings a muffin to Chandler and Monica who are sitting on the couch. RACHEL: Ok, Chandler, Mon, there's only one bananna nut muffin left [Rachel holds the tray between them. Chandler grabs the muffin before Monica can. MONICA: Oh, I ordered mine first CHANDLER: Yeah, but I'm, I'm so much faster.. MONICA: Give it to me CHANDLER: No MONICA: Give it to me CHANDLER: Ok, you can have it. [He licks it and offers it to her. MONICA: [She grabs the coffee cup on the table and licks the rim.] There you go, enjoy your coffee CHANDLER: That was there when I got here. [Takes a bite of his muffin. PHOEBE: [enters] Hey you guys, you will never guess who's coming to New York MONICA: [Chandler tries to come back with a smart-ass remark but can't swallow the muffin.] Quick, Phoebe, tell us before he can swallow PHOEBE: Oh ok, Ryan, that guy I went out with, who's in the Navy [Chandler is visibly upset RACHEL: You went out with a guy in the Navy PHOEBE: Yeah, I met him when I was playing guitar in Washington Square Park. Ryan threw in salt water taffy 'cause he didn't have any change JOEY: Hey, is that when you wrote salt water taffy man PHOEBE: No. No, he is my submaring guy. He resurfaces like every couple years and we have the most amazing three days together. Only this time he's coming for two weeks. Two whole weeks, which means yay RACHEL: So wait, this guy goes down for like two years at a time [Once again, Chandler has a bite in his mouth and can't come back. MONICA: That'll teach you to lick my muffin<|endoftext|>"
87,"<|startoftext|>Originally written by Marta Kauffman and David Crane Transcribed by guineapig SCENE 1: CENTRAL PERK. (ALL PRESENT EXCEPT RACHEL AND ROSS MONICA: There's nothing to tell! He's just some guy I work with JOEY: C'mon, you're going out with the guy! There's gotta be something wrong with him CHANDLER: So does he have a hump? A hump and a hairpiece PHOEBE: Wait, does he eat chalk (THE OTHERS STARE, BEMUSED PHOEBE: Just, 'cause, I don't want her to go through what I went through with Carl- oh MONICA: Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having s*x CHANDLER: Sounds like a date to me (CUT TO SAME SET CHANDLER: Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realise I am totally naked ALL: Oh, yeah. Had that dream CHANDLER: Then I look down, and I realise there's a phone... there JOEY: Instead of... CHANDLER: That's right JOEY: Never had that dream PHOEBE: No CHANDLER: All of a sudden, the phone starts to ring. And it turns out it's my mother, which is very weird, because- she never calls me (CUT TO SAME SET. ROSS HAS NOW ENTERED ROSS: (MORTIFIED) Hi JOEY: This guy says hello, I wanna kill myself MONICA: Are you okay, sweetie ROSS: I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..<|endoftext|>"
88,"<|startoftext|>Written By: Shana Goldberg-Meeha Transcribed by: Eric Aase With Help From: Aaron Mille [Scene: Chandler, Joey, and Ross's apartment, Ross is cleaning out the fridge. Joey walks from his room. He looks like he just woke up. Joey: What are you doing Ross: I...reorganized the fridge. See, bottom shelf: meats and dairy. (Theres nothing on the shelf.) Middle shelf: fruits and vegetables. (Theres one lone tomato.) And top shelf: expired products. (The shelf is jammed packed. Joey: Why are you doing this Ross: Because I am bored...Out of my mind. Ive already been to the bank, post office, and the dry cleaners Joey: Dude, you just described seven days worth of stuff. Youve got to spread it out a little, you know. Havent you ever been unemployed Ross: Hey, I am not unemployed. Im on sabbatical Joey: Hey, dont get religious on me, ok. (Ross looks a little confused.) A guy in your position needs to be a little better at relaxing. You know. Why do you think we have the comfortable chairs? Huh...come heresit down. (Ross sits down.) Ready? (Joey flips the foot rest up.) Ahh!! (He reclines the chair fully.) Ohh, yeah!! Huh? Ross: So what, we just sit Joey: Ohh, no, no. Were not going to just sit. (Joey sits down and hits the speed dial button on the phone.) Shhh. (It begins to ring. Chandler: (Answering the phone at work) Hello, Chandler Bing Joey: (In a high pitched female voice) Hello Mr. Bing...I love you Chandler: (Angrily) Alright, whoever this is, stop calling me! (Ross and Joey laugh silently.) Its been six months! Its not funny Joey: But, I love you Chandler: Leave me alone! For the love of God, leave me alone!!! (Joey hangs up. Joey: And thats Wednesday. (He reclines in his chair.) Ohh Opening Credit [Scene: Central Perk, Chandler, Ross, Joey, Monica, and Rachel are there. Phoebe walks in ringing a bell. Phoebe: Hey you guys, guess what Chandler: The British are coming Phoebe: Ohh, you and your ways. (She shakes the bell at him and sits down.) Since its Christmastime. Im going to be one of those people collection donations All: Ohh<|endoftext|>"
89,"<|startoftext|>Originally written by Adam Chase and Ira Ungerleide Transcribed by Mindy Mattingly Phillips [mmatting@indiana.edu] MONICA: Ok, these were unbelievably expensive, and I know he's gonna grow out of them in like, 20 minutes, but I couldn't resist PHOEBE: Oh, look at these! Hey, Ben. Just do it. Oh my god, oh, ok, was that too much pressure for him CHANDLER: You know, it's...something funny about sneakers. I'll be right back JOEY: I gotta get one, too ROSS: What are you guys doing CHANDLER: We're just hanging out by the spoons. Ladle ROSS: Look, would you guys grow up? That is the most natural beautiful thing in the world JOEY: Yeah, we know, but there's a baby suckin' on it ROSS: This is my son having lunch, ok? It's gonna happen a lot, so you'd better get used to it. Now if you have any problem with it, if you're uncomfortable, just ask questions. Carol's fine with it, now come on CHANDLER: Carol, Carol? I was just wondering if Joey could ask you a question about breast-feeding CAROL: Sure JOEY: Uh, does it hurt CAROL: It did at first, but not anymore JOEY: Chandler CHANDLER: So, uh, how often can you do it CAROL: As much as he needs JOEY: Ok, I got one, I got one. If he blows into one, does the other one get bigger OPENING TITLE JULIE: Rachel, do you have any muffins left RACHEL: Yeah, I forget which ones JULIE: Oh, you're busy, that's ok, I'll get it. Anybody else want one? Oh, you're losin' your apron here, let me get it. There you go RACHEL: Thank you. What a bitch JULIE: Oh, listen you guys. I have this friend at Bloomingdales who's quitting tomorrow and he wants to abuse his discount. So, anyone want to come with me and take advantage of it<|endoftext|>"
90,"<|startoftext|>Written by: Michael Curtis and Gregory S. Malin Transcribed by: Eric Aase [Scene: Central Perk, Chandler and Rachel are sitting on the couch. Chandler: (reading the comics) Eh..., I dont, I dont know Rachel: What Chandler: Well, as old as he is in dog years, do you think Snoopy should still be allowed to fly this thing Gunther: Rachel Rachel: Yeah Gunther: Do you remember when you first came here, how you spent two weeks getting trained by another waitress Rachel: Oh, sure! Do you need me to train somebody new Gunther: (laughs) Good one. Actually, ah, Terry wants you to take the training again, whenever Rachel: (to Chandler) Eh, do you believe that Chandler: (thinks about it) Yeah Opening Credit [Scene: The hallway of Rosss building, there is a Brown Bird girl selling cookies, as Ross and Chandler come up the stairs. Sarah: So thats two boxes of the Holiday Macaroons. On behalf of the Brown Birds of America, I salute you. (Does the Brown Bird salute, she blows on a bird call, then holds her hand, palm facing out, next to her face, and then waves it like a bird flapping its wings. Ross: Just admit it Chandler, you have no backhand Chandler: Excuse me little one, I have a very solid backhand Ross: Shielding your face and shrieking like a girl... is not a backhand Chandler: I was shrieking... like a Marine (they both start up the stairs. Ross: All right here. Watch me execute the three Ps of championship play. Power. (swings the racquet) Precision. (swings the racquet.) and penache. (does a backswing and hits Sarah whos started up the stairs, knocking her down, they both watch in horror. [Scene: Central Perk, the gangs all there discussing the incident. Monica: You broke a little girls leg?! Ross: I know. I feel horrible. Okay<|endoftext|>"
91,"<|startoftext|>Story by: Alicia Sky Varinaiti Teleplay by: Gigi McCreery & Perry Rei Transcribed by: Eric Aase [Scene: Chandler and Joey's, Monica and Chandler are sitting on one of the chairs doing a crossword puzzle. Joey: Hey Chandler: Hey Monica: Hey Joey: What are you guys doing up Chandler: Oh, we wanted to finish the crossword before we went to bed. Hey, do you know a six-letter word for red Joey: (thinks) Dark red Chandler: Yeah, I think that's wrong, but there's a Connect the Dots in here for you later. (To Monica) Hey, how about maroon Monica: (checks to see if it works) Yes, you are so smart! (Kisses him. Joey: Aww, you guys are so cute Monica: I know Joey: All right, I'll see you in the morning Chandler and Monica: Okay [Scene: Joey's bedroom, time lapse. He's asleep and dreaming. In his dream he's doing the crossword puzzle withwait for itMonica! Dream Monica: Y'know, I love doing crossword puzzles with you honey Dream Joey: Aww, me too. Now let's finish this and go to bed Dream Monica: Okay! There's only one left, three letter word, not dog bu Dream Joey: Cat Dream Monica: Yes! You are so smart! (Kisses him.) I love you Dream Joey: I love you too (They hug. [Cut back to Joey in bed, he's smiling, enjoying the dream as he wakes up. Suddenly, he realized what he was dreaming about and bolts upright in bed.<|endoftext|>"
92,"<|startoftext|>Teleplay by: Sherry Bilsing & Ellen Plumme Story by: Vanessa McCarth Transcribed by: Eric Aase [Scene: Joey and Rachel's, Joey is knocking on Rachels door, whose door frame is decorated with balloons. The rest of the gang is there as well. Rachel opens the door and the gang blow on noisemakers. Ross: Happy birthday!! Monica: Happy birthday!! (Rachel glares at them and goes back into her room, closing her door. All: Rach! Come on! Rach Monica: Its your birthday Tag: (entering from her room) Hey Chandler: (To Monica) Shes not as pretty as she was when she was 29 Tag: Ms. Green would like to establish some ground rules before she comes out. She would appreciate it if you dont use the words old or downhill or (To Joey) they still look pretty damn good. (Joey smiles and everyone glares at him. Joey: They do Phoebe: Rachel! Come on out! Monica made breakfast Monica: Chocolate-chip pancakes (There is no response from Rachel. Ross: Weve got presents (She opens the door. Rachel: Good ones Monica: They all came from the list you handed out to us two weeks ago Rachel: Well, can I keep the presents and still be 29 Joey: Come on Rach! Look, turning thirty is not that big a deal Ross: Oh really. Is that how you felt when you turned thirty [Flashback to Joeys thirtieth birthday party. It is being held in Monica and Chandlers apartment. Joey: (screaming) Why God?!! Why?!! We had a deal!! Let the others grow old! Not me!! (He buries his head in Phoebes lap for comfort.<|endoftext|>"
93,"<|startoftext|>Originally written by Sebastian Jones and Brian Buckner Transcribed by Joshua Hodge [Scene: Monica and Rachel's apartment. Everyone is there. Monica is watching stock prices on a business channel. JOEY: Hey Monica, why are we watchin' the business channel MONICA: 'Cause I was going by it the other day and I saw that there was a stock with my initials, MEG, on it and, well, sometimes I have to watch for two or three hours before it comes up again but when it does, it's pretty exciting RACHEL: Ok honey, you really need a job ROSS: Mon, speaking of which, dad says he knows someone you can call for an interview MONICA: Really PHOEBE: Ok, right there. That, that's the third sign today. Right there ROSS: On behalf of everyone, I'd just like to say behuh PHOEBE: No, 'cause you just said dad and everywhere I go today I keep getting signs telling me to go see my father. Like when I was walking over here and I passed a buffet...which is my father's last name EVERYONE: Ahh PHOEBE: And they were serving franks which is his first name minus the s at the end. And there was a rotisserie with spinning chicken MONICA: His indian name PHOEBE: No because I chickened out the last time when I tried to meet him. So I mean coincidences? I don't think so ROSS: Freakish MONICA: Wow JOEY: Freaky MONICA: Weird, weird RACHEL: Ok, so uh, who wants the last hamburger PHOEBE: Oh, alright, that's it, now I have to go see him MONICA: Why PHOEBE: Hamburger. McDonald's. Old MacDonald had a farm, my dad is a pharmacist OPENING TITLE [Scene: Central Perk. Chandler and Ross enter in sweats carrying rackets.<|endoftext|>"
94,"<|startoftext|>Originally written by  Transcribed by Joshua Hodge [Scene: Monica and Rachel's apartment. Phoebe enters to see Monica, Richard, Ross, and Rachel tearfully watching TV. PHOEBE: Hey. Watcha guys doin RICHARD: Monica's making us watch Old Yeller PHOEBE: Why are you guys so upset? It's Old Yeller, it's a happy movie RACHEL: What ROSS: What're you talkin' about PHOEBE: C'mon, happy family gets a dog, frontier fun ROSS: Yeah but Phoebs, what about the end PHOEBE: What when Yeller saves saves the family from the wolf and everyone's happy RACHEL: That's not the end PHOEBE: Yu-huh. That's when my mother would shut off the TV and say 'The end' MONICA: What about the part where he has rabies PHOEBE: He doesn't have rabies, he has babies. That's what my mom said RICHARD: Uh, Phoebe, I don't think your mom would want you to see what's about to happen PHOEBE: What, what's about to happen? [starts watching] I've never seen this part before. Hey, Travis, watcha doin' with that gun? Oh no, no no Travis, put down the gun. No no no no, he he's your buddy, he's your Yeller, no, no no, the end, THE END. [hear the gunshot from the TV [Scene:Monica and Rachel's apartment. Richard is on the balcony smoking and Monica is on the phone. MONICA: Hey, have you guys eaten, because uh, Richard and I just finished and we've got leftovers... Chicken and potatoes... What am I wearing?...Actually, nothing but rubber gloves [Chandler and Joey come sprinting in JOEY: Ya know, one of these times you're gonna really be naked and we're not gonna come over MONICA: Alright, I've got a leg, three breasts and a wing CHANDLER: Well, how do you find clothes that fit JOEY: Oh, hey, Monica, we've got a question MONICA: Alright, for the bizillionth time, yes I see other women in shower at the gym, and no I don't look<|endoftext|>"
95,"<|startoftext|>Teleplay by: Brian Buckner & Sebastian Jone Story by: Greg Malin Transcribed by: Eric Aase [Scene: Monica and Chandler's, Phoebe, Monica, and Rachel are sitting around the kitchen table as Ross enters. Ross: Hey Monica: Hey Ross: Hey uh Mon, I saw the Porsche parked out front, can I get the keys? Thought Id take that bad boy out for a little spin Rachel: Wait a minute! (To Monica) You let Ross drive the Porsche and when I ask you, you say youre the only one whos allowed to drive it Monica: Yeah, well hes my brother! And plus he drives so slow he could never hurt it Ross: Its a car Monica! Not a rocket ship Monica: Whatever Ross! Just replace the bulbs in the brake lights after youre done Joey: (entering) Hey Ross: Hey Phoebe: Hey Joey: Saw the Porsche out there Mon, lookin good. When do I get to take that baby out again Rachel: (shocked) You let Joey drive it? Phoebe: Ive never driven it! Okay? Not once! Okay once. Okay, I drive it all the time Monica: Nice work everybody! So much for the yknow, ""You can drive it, but dont tell Rachel"" plan Rachel: Wow! I cant believe you lied to me Phoebe: Okay, I can fix this! Okay Monica, Rachel thinks all you can talk about is the wedding. (Rachel glares at her. Monica: Great! Well Rachel, the reason why I wont let you drive the Porsche is because youre a terrible driver. There! That wasnt about the wedding Ross: Look Rach if-if you want to go for a ride in the Porsche Ill be glad to take you for a quick spin around the block Joey: Yeah, you got a couple hours Opening Credit [Scene: Central Perk, Rachel is there as Ross enters with all his hair sticking straight up.<|endoftext|>"
96,"<|startoftext|>Teleplay by: Sherry Bilsing & Ellen Plumme Story by: Brian Caldirol Transcribed by: Eric Aase [Scene: Central Perk, Rachel, Chandler, Monica, and Joey are there as Phoebe enters. Phoebe: (dejected) Hi, you guys Chandler: Hey Monica: Hi Rachel: Whats the matter Phoebe: Well its justits one of those situations that I just hate. Yknow? A massage client gave me three tickets to the Helmet-Pelts exhibit at the Morgan Chase museum Joey: (nodding knowingly) Now youre thinking you gotta sleep with him Phoebe: No! No! Its just that he gave me three tickets and there are six of us Chandler: Ill give up my ticket Joey: Me too Phoebe: Okay thats so generous Chandler: And I think Ross is generous too Phoebe: Great! Okay then its just us girls Monica and Rachel: (less than enthused) Great Phoebe: Yeah Rachel: So what-what is the exhibit Phoebe: Its mostly just photographs of lesbian love scenes interspersed with video games and free sandwiches Joey: Oh man! (Hits Chandler Ross: (entering) Hey Rachel: Hi Chandler: Hey Joey: Hey Ross listen Chandler got you out of going to the lesbian sandwich museum this weekend<|endoftext|>"
97,"<|startoftext|>Originally written by Michael Curtis and Greg Malin Trascribed by Mindy Mattingly Phillip With Minor Adjustments by: Eric Aase CHANDLER: Hey MONICA: So how was Joan CHANDLER: I broke up with her CHANDLER: They were huge. When she sneezed, bats flew out of them RACHEL: Come on, they were not that huge CHANDLER: I'm tellin' you, she leaned back, I could see her brain MONICA: How many perfectly fine women are you gonna reject over the most superficial insignificant things JOEY: Hold it hold it. I gotta side with Chandler on this one. When I first moved to the city, I went out a couple of times with this girl, really hot, great kisser, but she had the biggest Adam's apple. It made me nuts CHANDLER: You or me ROSS: I got it. Uh, Joey, women don't have Adam's apples JOEY: You guys are messin' with me, right ALL: Yeah JOEY: That was a good one. For a second there, I was like, ""whoa. PHOEBE: You name one woman that you broke up with for a real reason CHANDLER: Maureen Rosilla ROSS: Not hating Yanni is not a real reason (knock MONICA: Hello, Mr. Heckles MR. HECKLES: You're doing it again MONICA: We're not doing anything MR. HECKLES: You're stomping. It's disturbing my birds RACHEL: You don't have birds<|endoftext|>"
98,"<|startoftext|>Originally written by Betsy Born Transcribed by Mindy Mattingly Phillips [mmatting@indiana.edu Minor additions and adjustments by Dan Silverstein [Scene: At Monica and Rachel's. MONICA: Who da wenny-Benny boy? You the Wenny-wenny-Benny-Benny boy, yes. Don't cry. Don't cry. Why is he still crying ROSS: Let me hold him for a sec. There. (Ben stops crying) Huh? There we are MONICA: Maye it's me ROSS: Don't be silly. Ben loves you. He's just being Mr. Crankypants CHANDLER: You know, I once dated a Miss Crankypants. Lovely girl, kinda moody ROSS: There we go. All better. (gives Ben back to Monica MONICA: There's my little boy. (Ben starts crying again CHANDLER: Can I uh see something? (Takes Ben. When he puts him close to Monica, Ben cries. When he moves Ben away, he stops crying. JOEY: Cool MONICA: He hates me. My nephew hates me ROSS: Come on, don't do this MONICA: What if my own baby hates me? Huh? What am I gonna do then CHANDLER: Monica, will you stop? This is nuts. Do you know how long it's gonna be before you actually have to deal with this problem? I mean, you don't even have a boyfriend yet. Joey, she does not look fat (Chandler has a basketball which he is moving closer to, then away from, Monica JOEY: Goo, goo, goo, waaah MONICA: That is so funny. Let me see that. (throws the ball out the window JOEY: Are you ok, Ross ROSS: I don't know. What's in this pie? MONICA: Uh, I don't know, butter, eggs, flour, lime, kiwi-- ROSS: Kiwi? Kiwi? I thought it was a key lime pie MONICA: No I didn't, I said kiwi lime. That's what makes it so special.<|endoftext|>"
99,"<|startoftext|>Teleplay by: Patty Li Story by: Earl Davi Transcribed by: Eric Aase [Scene: Monica, Chandler, and Phoebe's, Monica and Phoebe are going through a bunch of pictures as Chandler enters. Chandler: Hey Monica: Whats the matter Chandler: Someone on the subway licked my neck! Licked my neck! Phoebe: Oh Willies still alive Chandler: What are you guys doing Monica: Oh, my mom called, theyre gonna run our engagement announcement in the local paper, so were looking for a good picture of us Chandler: Oooh, Im afraid that does not exist Monica: Thats not true, there are great pictures of us Chandler: No, there are great pictures of you standing next to a guy whos going like this (Makes what can only be described as a toothy frown. Henceforth, this shall be known as The Face. Phoebe: Oh my God! Thats the creep that youre with at the Statue of Liberty Chandler: I dont know what it is, I just cant take a good picture Monica: (looking at one) Oh, heres a great one Chandler: Yeah, Im not in that Monica: I know, but look at me: all tan Phoebe: Hey, why dont you guys go get portraits done by a professional photographer Monica: Thats a good idea! I bet they have one of those wind machines! Yknow (Does the whole hair blowing in the wind model type poses. Phoebe: Yeah thats great! Next to that, Chandler wont look so stupid Monica: Chandler what do you say Chandler: All right, but I should warn you, Im not going. Im going. (Does The Face while saying that last part. Opening Credit [Scene: Central Perk, Rachel is sitting on the couch as Ross and Chandler enter after playing basketball.<|endoftext|>"
100,"<|startoftext|>Teleplay by: Andrew Reich & Ted Cohe Story by: Brian Buckner & Sebastian Jone Transcribed by: Eric Aase [Scene: Central Perk, Monica, Chandler, Phoebe, and Joey are there. Monica is holding a piece of paper. Monica: So the wedding caterer sent me this list of twelve appetizers and I have to narrow it down to six Joey: Food? Uh-huh gimme! (She hands him the paper. Chandler: So did Monica tell you about this great band called the Swing Kings that were trying to get to play at the wedding Phoebe: Since when are you into swing music Chandler: Oh since forever! I used to go all over town listening to bands Monica: Chandler Chandler: Gap commercial. (To Monica) So did you book them? Did you call Monica: I will Chandler: Do you want me to call Monica: No, Ill do it. You just stick to your job Phoebe: What is your job Chandler: Staying out of the way Joey: This is impossible Monica, why dont you just pick all 15? (Hands back the paper. Monica: There were only twelve Joey: Oh yeah, I added three Monica: What are peanut butter fingers? Joey: Oh yeah (He mimes sticking his fingers into a jar of peanut butter, scooping some out, and eating it off his fingers. Opening Credit [Scene: A Street, Chandler and Ross are at a newsstand. Ross: (noticing a beautiful woman moving in down the street) Well hello! Shes cute! Should we uh, go try to talk to her Chandler: Sure! Thats one of the great things about being engaged. Im not nervous talking to pretty girls anymore<|endoftext|>"
101,"<|startoftext|>Written by: Marta Kauffman & David Cran Transcribed by: Eric Aase {Transcriber's Note: Rachel has two friends that are not named, so I referred to them as Friend No. 1 and Friend No. 2. [Scene: Central Perk, the whole gang is there including Janice. Janice: Janice has a question. Who of the six of you has sleep with the six of you Phoebe: Wow, its like a dirty math problem Ross: Im sorry the answer there would be...none of us Janice: Come on over the years none of you ever y'know, got drunk and stupid Joey: Well, thats really a different question Janice: Im sorry I find it hard to believe that a group of people who spends as much time together as you guys do has never bumped uglies Joey: Well, there was that one time that Monica and Rachel got together Monica and Rachel: What?! Rachel: Excuse me, there was no time Joey: Okay, but lets say there was. How might that go Janice: Okay, okay, well then answer me this. Has any of you ever.... almost Rachel: Does anybody need more coffee Ross: Yeah, Ill take some Joey: Hey, theres a dog out there Opening Credit [Scene: Monica and Phoebes, three years earlier, Phoebe, Monica, and Ross are there Phoebe: Oh, that is so unfortunate Ross: What Phoebe: Cute naked guy is really starting to put on weight Monica: (entering from bedroom) Okay, Ill be back in just a minute. Oh, Phoebe Im sorry that I left lipstick marks on the phone Phoebe: You didnt leave lipstick marks on the phone<|endoftext|>"
102,"<|startoftext|>Teleplay by: Wil Calhou Story by: Shana Goldberg-Meeha Transcribed by: Eric Aase [Scene: Central Perk, everyone but Phoebe are there reading. Rachel is sitting on the couch flanked by Ross and Monica. She suddenly stops reading and starts blinking her left eye as if it's bothering her. The problem is that Joey is on her left and thinks she's winking at him and winks back. Ross is watching this and isn't quite sure of what to make of it. Ross: What's going on Rachel: Well, my eye is a little itchy (Ross turns to look at Joey. Joey: Uhhh, mine too! Yeah Monica: (To Rachel) Wow! It's really red! You should go see my eye doctor Rachel: Richard? I'm not gonna go see your ex-boyfriend Chandler: Oh, Richard. That's all I ever hear, Richard, Richard, Richard Monica: Since we've been going out, I think I've mentioned his name twice Chandler: Okay, so Richard, Richard Monica: It's not Richard! Okay? It's this new guy and he's really good Rachel: Well, I'm sorry I'm not going to an eye doctor Ross: Oh God, here we go Chandler: What Ross: Anytime anything comes close to touching her eye or anyone else's she like freaks out. Watch! Watch! (He takes his finger and moves it towards his eye. Rachel: (flinches) Ross! Come on! That's all right! Fine--Okay, I have a weird thing about my eye. Can we not talk about it please All: All right, fine Monica: Hey Rach, remember that great song, Me, Myself, and I? (And on the ""I"" part she mimics poking her eye. Rachel: (flinches again) Monica! Come on Ross: Hey, does anybody want to get some lunch? All those in favor say I? (Pokes his eye Rachel: (freaks) Ross! Stop it! Come on Chandler: How much did I love The King and I? (Oh, you get the point by now.<|endoftext|>"
103,"<|startoftext|>Story by: Pan-ni Landrum & Mark J. Kunerth Teleplay by: Adam Chas Transcribed by: Eric B Aasen [Scene: Central Perk, everyone except Phoebe is there. Bonnie i telling them of her sex-capades. Chandler: (to Bonnie) So ah, your first sexual experience was with            woman? Bonnie: All right, I was 15, it was my best friend, Ruth, and we go         drunk on that hard cider, and then suddenly, I dont know, w         were, we were making out Chandler: Tell it again. (pause, we see Rachel is not amused.           Seriously [cut to Rachel and Monica at the counter. Rachel: (to Monica) I mean is that woman capable of talking abou         anything else but s*x Joey: Yeah, sure. Well y'know, earlier she was talking abou       geography Monica: Joey, she was listing the countries shes done it in Joey: Well, I think we all learned something Phoebe: (entering, hurridly) Hey, you guys! Look what I found! Loo         at this! (She hands Chandler a picture) Thats my Mom         writing! Look Chandler: (reading the back of the picture) Me and Frank and Phoebe           Graduation 1965 Phoebe: Y'know what that means Joey: That youre actually 50<|endoftext|>"
